event_name,event_id,weight_class,round,winner,winner_team,win_type,loser,loser_team,score_details,raw_result
NAIA Women's National Championships 2025,923487132,NAIA 103,1st Place Match,Erin Hikiji,Providence,decision,Alexis Miller,Oklahoma City,Dec 8-2,1st Place Match - Erin Hikiji (Providence) won by decision over Alexis Miller (Oklahoma City) Dec 8-2
NAIA Women's National Championships 2025,923487132,NAIA 103,3rd Place Match,Judy Sandoval,Grand View,fall,Makayla Young,Indiana Tech,Fall 0:39,3rd Place Match - Judy Sandoval (Grand View) won by fall over Makayla Young (Indiana Tech) Fall 0:39
NAIA Women's National Championships 2025,923487132,NAIA 103,5th Place Match,Alexis Hatfield,Avila,forfeit,Angelina Casteneda,Cumberlands,FF,5th Place Match - Alexis Hatfield (Avila) won by forfeit over Angelina Casteneda (Cumberlands) FF
NAIA Women's National Championships 2025,923487132,NAIA 103,7th Place Match,Karina Vang,Doane,injury default,Sofia Abramson,Oklahoma City,Inj. 0:17,7th Place Match - Karina Vang (Doane) won by injury default over Sofia Abramson (Oklahoma City) Inj. 0:17
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Semi,Makayla Young,Indiana Tech,forfeit,Angelina Casteneda,Cumberlands,FF,Cons. Semi - Makayla Young (Indiana Tech) won by forfeit over Angelina Casteneda (Cumberlands) FF
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Semi,Judy Sandoval,Grand View,tech fall,Alexis Hatfield,Avila,TF 12-0,Cons. Semi - Judy Sandoval (Grand View) won by tech fall over Alexis Hatfield (Avila) TF 12-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 5,Angelina Casteneda,Cumberlands,tech fall,Karina Vang,Doane,TF 10-0,Cons. Round 5 - Angelina Casteneda (Cumberlands) won by tech fall over Karina Vang (Doane) TF 10-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 5,Alexis Hatfield,Avila,fall,Sofia Abramson,Oklahoma City,Fall 1:59,Cons. Round 5 - Alexis Hatfield (Avila) won by fall over Sofia Abramson (Oklahoma City) Fall 1:59
NAIA Women's National Championships 2025,923487132,NAIA 103,Semifinal,Erin Hikiji,Providence,tech fall,Judy Sandoval,Grand View,TF 10-0,Semifinal - Erin Hikiji (Providence) won by tech fall over Judy Sandoval (Grand View) TF 10-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Semifinal,Alexis Miller,Oklahoma City,fall,Makayla Young,Indiana Tech,Fall 2:27,Semifinal - Alexis Miller (Oklahoma City) won by fall over Makayla Young (Indiana Tech) Fall 2:27
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 4,Karina Vang,Doane,decision,Malarie Dominguez,Wayland Baptist,Dec 3-3,Cons. Round 4 - Karina Vang (Doane) won by decision over Malarie Dominguez (Wayland Baptist) Dec 3-3
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 4,Angelina Casteneda,Cumberlands,tech fall,Eyvori Jacquez,Saint Mary,TF 10-0,Cons. Round 4 - Angelina Casteneda (Cumberlands) won by tech fall over Eyvori Jacquez (Saint Mary) TF 10-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 4,Sofia Abramson,Oklahoma City,fall,Katherine Hernandez,Life,Fall 2:15,Cons. Round 4 - Sofia Abramson (Oklahoma City) won by fall over Katherine Hernandez (Life) Fall 2:15
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 4,Alexis Hatfield,Avila,decision,Dutchess King,Cumberlands,Dec 8-5,Cons. Round 4 - Alexis Hatfield (Avila) won by decision over Dutchess King (Cumberlands) Dec 8-5
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 3,Malarie Dominguez,Wayland Baptist,decision,Isabella Bocanegra,Providence,Dec 6-0,Cons. Round 3 - Malarie Dominguez (Wayland Baptist) won by decision over Isabella Bocanegra (Providence) Dec 6-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 3,Eyvori Jacquez,Saint Mary,decision,Alanis Serrano-Rios,Waldorf,Dec 7-0,Cons. Round 3 - Eyvori Jacquez (Saint Mary) won by decision over Alanis Serrano-Rios (Waldorf) Dec 7-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 3,Sofia Abramson,Oklahoma City,decision,Olivia Atkins,William Penn,Dec 10-8,Cons. Round 3 - Sofia Abramson (Oklahoma City) won by decision over Olivia Atkins (William Penn) Dec 10-8
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 3,Alexis Hatfield,Avila,decision,Devyn Moore,Grand View,Dec 5-0,Cons. Round 3 - Alexis Hatfield (Avila) won by decision over Devyn Moore (Grand View) Dec 5-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Quarterfinal,Erin Hikiji,Providence,tech fall,Angelina Casteneda,Cumberlands,TF 11-0,Quarterfinal - Erin Hikiji (Providence) won by tech fall over Angelina Casteneda (Cumberlands) TF 11-0
NAIA Women's National Championships 2025,923487132,NAIA 103,Quarterfinal,Judy Sandoval,Grand View,fall,Karina Vang,Doane,Fall 5:41,Quarterfinal - Judy Sandoval (Grand View) won by fall over Karina Vang (Doane) Fall 5:41
NAIA Women's National Championships 2025,923487132,NAIA 103,Quarterfinal,Alexis Miller,Oklahoma City,fall,Dutchess King,Cumberlands,Fall 1:13,Quarterfinal - Alexis Miller (Oklahoma City) won by fall over Dutchess King (Cumberlands) Fall 1:13
NAIA Women's National Championships 2025,923487132,NAIA 103,Quarterfinal,Makayla Young,Indiana Tech,fall,Katherine Hernandez,Life,Fall 1:53,Quarterfinal - Makayla Young (Indiana Tech) won by fall over Katherine Hernandez (Life) Fall 1:53
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 2,Malarie Dominguez,Wayland Baptist,decision,Nayeli Flores Roque,Eastern Oregon,Dec 5-1,Cons. Round 2 - Malarie Dominguez (Wayland Baptist) won by decision over Nayeli Flores Roque (Eastern Oregon) Dec 5-1
NAIA Women's National Championships 2025,923487132,NAIA 103,Cons. Round 2,Eyvori Jacquez,Saint Mary,tech fall,Lillian Zapata,William Penn,TF 10-0,Cons. Round 2 - Eyvori Jacquez (Saint Mary) won by tech fall over Lillian Zapata (William Penn) TF 10-0
