year,weight_class,place,wrestler,team
2024,101,1st Place,Stefana Jelacic,Lourdes
2024,101,2nd Place,Erin Hikiji,Providence
2024,101,3rd Place,Kayla Mckinley-Johnson,Menlo
2024,101,4th Place,Esther Walker,Midland
2024,101,5th Place,Liana Ferreira,Southern Oregon
2024,101,6th Place,Audalie Cruz,Wayland Baptist
2024,101,7th Place,Makayla Young,Indiana Tech
2024,101,8th Place,Devyn Gomez,Life
2024,109,1st Place,Mia Palumbo,William Penn
2024,109,2nd Place,Jasmine Howard,Texas Wesleyan
2024,109,3rd Place,Emma Baertlein,Southern Oregon
2024,109,4th Place,Paige Morales,Providence
2024,109,5th Place,Alexsys Jacquez,St. Mary
2024,109,6th Place,Diana Gonzalez,Life
2024,109,7th Place,Tehani Soares,Indiana Tech
2024,109,8th Place,Tristan Nitta,Grand View
2024,116,1st Place,Juliana Diaz,Missouri Baptist
2024,116,2nd Place,Camille Fournier,Texas Wesleyan
2024,116,3rd Place,Katherine Heath,Baker
2024,116,4th Place,Ajayzee Zaballos,Menlo
2024,116,5th Place,Icart Galumette,Campbellsville
2024,116,6th Place,Avery Ashley,Oklahoma City
2024,116,7th Place,Marissa Kurtz,Southern Oregon
2024,116,8th Place,Ariana Martinez,Life
2024,123,1st Place,Cristelle Rodriguez,Doane
2024,123,2nd Place,Maya Davis,Grand View
2024,123,3rd Place,Alana Vivas,Menlo
2024,123,4th Place,Joanna Vanderwood,William Penn
2024,123,5th Place,Sophia Smith,Oklahoma City
2024,123,6th Place,Anna Krejsa,Life
2024,123,7th Place,Haley Narahara,Menlo
2024,123,8th Place,Catharine Campbell,Grand View
2024,130,1st Place,Carolina Moreno,Southern Oregon
2024,130,2nd Place,Sarah Savidge,Life
2024,130,3rd Place,Devin Patton,William Penn
2024,130,4th Place,Lillian Avalos,Vanguard
2024,130,5th Place,Janiah Jones,Missouri Baptist
2024,130,6th Place,Alysaa Randles,Providence
2024,130,7th Place,Louisa Schwab,Menlo
2024,130,8th Place,Elizabeth Duvall,Texas Wesleyan
2024,136,1st Place,Adaugo Nwachukwu,William Penn
2024,136,2nd Place,Zaynah McBryde,Life
2024,136,3rd Place,Waipuilani Estrella-Beauchamp,Providence
2024,136,4th Place,Tiyahna Askew,Missouri Baptist
2024,136,5th Place,Gianna Moreno,Friends
2024,136,6th Place,Andrea Schlabach,Grand View
2024,136,7th Place,Stephanie Chavez,Menlo
2024,136,8th Place,River Todd,Vanguard
2024,143,1st Place,Jamilah McBryde,Life
2024,143,2nd Place,Emma Walker,Campbellsville
2024,143,3rd Place,Bella Amaro,Southern Oregon
2024,143,4th Place,Madison Diaz,Grand View
2024,143,5th Place,Mea Mohler,Texas Wesleyan
2024,143,6th Place,Alexandra Lopez,Menlo
2024,143,7th Place,Reagen Gallaway,Hastings
2024,143,8th Place,Serenity De La Garza,Missouri Valley
2024,155,1st Place,Caitlyn Davis,Southern Oregon
2024,155,2nd Place,Latifah McBryde,Life
2024,155,3rd Place,Shannon Workinger,Menlo
2024,155,4th Place,Josette Partney,Missouri Baptist
2024,155,5th Place,Liv Wieber,Eastern Oregon
2024,155,6th Place,Flor Parker-Borreo,Evergreen
2024,155,7th Place,Sadie Antoque,Providence
2024,155,8th Place,Kendra Thompson,Campbellsville
2024,170,1st Place,Ashley Lekas,William Penn
2024,170,2nd Place,Abby McIntyre,Grand View
2024,170,3rd Place,Kalila Shrive,Menlo
2024,170,4th Place,Shenita Lawson,Southern Oregon
2024,170,5th Place,Bo Geibe,Siena Heights
2024,170,6th Place,Chamira Cooper,Cumberlands
2024,170,7th Place,Aalyah Villarreal,Texas Wesleyan
2024,170,8th Place,Faith Macharia,Missouri Baptist
2024,191,1st Place,Tavia Heidelberg-Tillitson,Menlo
2024,191,2nd Place,Joanna Hendricks,Waldorf
2024,191,3rd Place,Olivia Brown,Grand View
2024,191,4th Place,Maquoia Bernabe,Cumberlands
2024,191,5th Place,Naomi Duenas,Cumberlands
2024,191,6th Place,Lessly Sandoval,St. Mary
2024,191,7th Place,Jannell Avila,Baker
2024,191,8th Place,Elisa Robinson,Baker
