rank,last_rank,school,points
1,1,Life (Ga.),224
2,2,Grand View (Iowa),186
3,3,Providence (Mont.),177
4,5,William Penn (Iowa),166
5,4,Lindsey Wilson (Ky.),145
6,7,Wayland Baptist (Texas),116
7,8,Indiana Tech,115
8,10,Missouri Valley,114
9,11,Ottawa (Kan.),93
10,9,Southern Oregon,91
11,12,Doane (Neb.),82
12,6,Cumberlands (Ky.),77
13,13,Texas Wesleyan,75
14,14,Hastings (Neb.),72
15,17,Oklahoma City,66
16,16,Central Methodist (Mo.),56
17,20,Missouri Baptist,53
17,15,Campbellsville (Ky.),53
17,19,Baker (Kan.),53
20,18,Evergreen State,52
