event_id,event_name,date,location,event_type
954958132,2026 NAIA Women's National Championships,03/13 - 03/14/2026,"Park City, KS",National Championship
923487132,2025 NAIA Women's National Championships,03/14 - 03/15/2025,"Park City, KS",National Championship
954948132,NAIA Women Cascade Collegiate Conference Championship,03/01/2026,"Ashland, OR",Conference Tournament
954949132,NAIA Women Great Plains Athletic Conference Championship,02/28/2026,"Hastings, NE",Conference Tournament
954951132,NAIA Women Heart of America Conference Championship,02/28/2026,"Oskaloosa, IA",Conference Tournament
964024132,NAIA Women KCAC / Sooner Athletic Conference Championship,02/27/2026,"Wichita, KS",Conference Tournament
954952132,NAIA Women Mid-South Conference Championship,02/20/2026,"Bowling Green, KY",Conference Tournament
961817132,Women's Firestorm Open,02/13/2026,"Glendale, AZ",Open / Invitational
954567132,Grand View Open,02/07/2026,"Des Moines, IA",Open / Invitational
931032132,LWU Women's Blue Raider Open,02/07/2026,"Columbia, KY",Open / Invitational
954180132,Missouri Valley Open,02/07/2026,"Marshall, MO",Open / Invitational
934208132,SAC vs KCAC DUALS,02/01/2026,"Fort Worth, TX",Dual Meet
1021166132,Falcon Women's Open - Elite,10/30/2026,"Park City, KS",Open / Invitational
1021167132,Falcon Women's Open - Fresh/Soph,10/30/2026,"Park City, KS",Open / Invitational
1017079132,Warrior Women's Open - IT,01/29 - 01/30/2027,"Fort Wayne, IN",Open / Invitational
