rank,team,state,abbreviation,athlete_count,points
1,Life,GA,LIFE,12,190.5
2,Grand View,IA,GV,12,120.5
3,Cumberlands,KY,CMSK,12,116.5
4,William Penn,IA,WPU,12,114.0
5,Missouri Valley,MO,MOVA,10,101.5
6,Providence,MT,PROV,12,85.0
7,Southern Oregon,OR,SORG,11,79.5
8,Texas Wesleyan,TX,TXWL,6,73.5
9,Doane,NE,DOAN,12,70.5
10,Indiana Tech,IN,INDT,9,70.5
11,Ottawa,KS,OTWA,11,66.0
12,Campbellsville,KY,CAMP,8,42.0
13,Wayland Baptist,TX,WYBT,6,37.0
14,Oklahoma City,OK,OKCT,9,34.0
15,Lourdes,OH,LRDO,2,32.5
16,Evergreen State,WA,ESC,3,32.0
17,Dickinson State,ND,DSU,4,31.0
18,Lindsey Wilson,KY,LW,10,31.0
19,Hastings,NE,HAST,8,29.5
20,Baker,KS,BAKA,5,28.5
21,Eastern Oregon,OR,EOU,6,24.5
22,Saint Mary,KS,STMY,4,16.5
23,Avila,MO,AVI,3,16.0
24,Jamestown,ND,UJAM,3,15.0
25,Missouri Baptist,MO,MBU,4,13.5
26,William Woods,MO,WWMO,1,11.5
27,Central Methodist,MO,CMU,2,3.5
28,Brewton-Parker,GA,BPC,1,3.0
29,Westcliff,CA,WCU,2,2.5
30,Dakota Wesleyan,SD,DWU,1,0.0
