rank,team,points,season
1,Southern Oregon,160,2023
2,Life,139.5,2023
3,Grand View,123.5,2023
4,Menlo,123,2023
5,Providence,102,2023
6,Cumberlands,98,2023
7,Central Methodist,92.5,2023
7,Iowa Wesleyan,92.5,2023
9,Texas Wesleyan,78.5,2023
10,Campbellsville,66,2023
11,Brewton Parker,51.5,2023
12,Eastern Oregon,44,2023
13,Missouri Baptist,42,2023
14,Missouri Valley,38,2023
15,Doane,33.5,2023
16,Baker,33,2023
17,Indiana Tech,32.5,2023
18,Oklahoma City,30.5,2023
19,Hastings,23,2023
20,Jamestown,19,2023
21,Lourdes,11.5,2023
22,St Andrews,11,2023
22,Waldorf,11,2023
24,Midland,10,2023
25,Siena Heights,7.5,2023
26,Friends,5.5,2023
27,Ottawa,5,2023
28,Jarvis Christian,4.5,2023
29,Vanguard,4,2023
30,Wayland Baptist,3,2023
31,Saint Mary,2.5,2023
32,Montreat,2,2023
33,William Penn,1,2023
34,Avila,0,2023
34,York,0,2023
